,year,Tave MIR,Tave MPI,Tave NOR,Tmax,Tmax.1,Tmax.2,Tmin,Tmin.1,Tmin.2,city
97,2047-01-01,20.3870967741936,18.8064516129032,18.3322580645161,24.9967741935484,23.3516129032258,22.1451612903226,16.158064516129,14.6677419354839,15.2870967741935,Charleroi
98,2048-01-01,18.9870967741936,17.8064516129032,17.9322580645161,23.8967741935484,22.2516129032258,22.0451612903226,14.458064516129,13.9677419354839,14.4870967741935,Charleroi
99,2049-01-01,19.7870967741936,19.7064516129032,19.1322580645161,24.4967741935484,24.7516129032258,23.3451612903226,15.258064516129,14.9677419354839,15.1870967741935,Charleroi
100,2050-01-01,20.3870967741936,21.4064516129032,20.5322580645161,24.9967741935484,26.2516129032258,25.4451612903226,16.058064516129,16.3677419354839,15.5870967741935,Charleroi
101,2051-01-01,19.3870967741936,19.1064516129032,18.9322580645161,23.6967741935484,23.6516129032258,23.1451612903226,15.458064516129,15.0677419354839,14.9870967741935,Charleroi
102,2052-01-01,19.2870967741936,19.9064516129032,18.9322580645161,23.6967741935484,24.9516129032258,23.3451612903226,15.358064516129,15.1677419354839,14.8870967741935,Charleroi
103,2053-01-01,20.4870967741936,20.2064516129032,17.1322580645161,24.9967741935484,24.6516129032258,20.7451612903226,16.458064516129,16.1677419354839,13.8870967741935,Charleroi
104,2054-01-01,19.4870967741936,21.3064516129032,18.6322580645161,23.4967741935484,26.0516129032258,22.3451612903226,16.258064516129,16.7677419354839,15.1870967741935,Charleroi
105,2055-01-01,18.4870967741936,19.0064516129032,21.1322580645161,22.5967741935484,23.3516129032258,26.0451612903226,14.858064516129,15.0677419354839,16.4870967741935,Charleroi
106,2056-01-01,19.6870967741936,18.0064516129032,22.3322580645161,23.9967741935484,22.3516129032258,27.3451612903226,15.958064516129,13.8677419354839,17.4870967741935,Charleroi
107,2057-01-01,20.4870967741936,18.7064516129032,20.0322580645161,24.6967741935484,23.2516129032258,24.4451612903226,16.758064516129,14.4677419354839,16.0870967741935,Charleroi
108,2058-01-01,20.6870967741936,19.6064516129032,20.5322580645161,25.3967741935484,24.4516129032258,25.0451612903226,16.458064516129,15.2677419354839,16.3870967741936,Charleroi
109,2059-01-01,18.4870967741936,20.9064516129032,19.6322580645161,22.9967741935484,25.6516129032258,24.2451612903226,14.558064516129,16.6677419354839,15.4870967741935,Charleroi
110,2060-01-01,21.8870967741936,17.4064516129032,20.2322580645161,26.7967741935484,21.7516129032258,25.2451612903226,17.058064516129,13.5677419354839,15.5870967741935,Charleroi
111,2061-01-01,19.8870967741936,20.2064516129032,20.2322580645161,24.2967741935484,24.9516129032258,24.6451612903226,15.758064516129,15.2677419354839,16.2870967741936,Charleroi
112,2062-01-01,18.7870967741936,20.6064516129032,20.2322580645161,23.5967741935484,25.6516129032258,24.8451612903226,14.358064516129,15.5677419354839,15.5870967741935,Charleroi
113,2063-01-01,20.8870967741936,22.0064516129032,17.9322580645161,25.5967741935484,27.4516129032258,21.8451612903226,16.558064516129,16.5677419354839,14.4870967741935,Charleroi
114,2064-01-01,20.0870967741936,17.6064516129032,21.9322580645161,24.6967741935484,21.6516129032258,27.1451612903226,15.658064516129,14.4677419354839,16.8870967741936,Charleroi
115,2065-01-01,19.1870967741936,18.9064516129032,20.7322580645161,23.6967741935484,23.7516129032258,25.4451612903226,14.858064516129,14.4677419354839,16.1870967741936,Charleroi
116,2066-01-01,20.2870967741936,19.4064516129032,20.8322580645161,24.7967741935484,24.1516129032258,25.7451612903226,15.958064516129,14.9677419354839,15.9870967741935,Charleroi
117,2067-01-01,23.1870967741936,19.7064516129032,19.6322580645161,28.2967741935484,24.5516129032258,24.5451612903226,18.358064516129,15.2677419354839,14.8870967741935,Charleroi
118,2068-01-01,20.0870967741936,18.8064516129032,21.5322580645161,25.0967741935484,23.4516129032258,26.3451612903226,15.558064516129,14.4677419354839,16.8870967741936,Charleroi
119,2069-01-01,20.7870967741936,19.0064516129032,19.6322580645161,25.4967741935484,23.4516129032258,23.9451612903226,16.358064516129,14.8677419354839,15.8870967741935,Charleroi
120,2070-01-01,20.9870967741936,20.3064516129032,21.0322580645161,25.3967741935484,25.0516129032258,25.7451612903226,16.858064516129,15.9677419354839,16.6870967741936,Charleroi
121,2071-01-01,20.3870967741936,18.9064516129032,19.1322580645161,24.7967741935484,23.5516129032258,23.7451612903226,16.458064516129,14.5677419354839,15.1870967741935,Charleroi
122,2072-01-01,20.4870967741936,19.6064516129032,19.5322580645161,24.6967741935484,24.1516129032258,24.2451612903226,16.858064516129,15.4677419354839,14.9870967741935,Charleroi
123,2073-01-01,21.2870967741936,23.2064516129032,19.1322580645161,25.9967741935484,28.3516129032258,23.3451612903226,17.158064516129,18.3677419354839,15.2870967741935,Charleroi
124,2074-01-01,19.4870967741936,22.1064516129032,19.5322580645161,23.5967741935484,26.9516129032258,24.2451612903226,15.858064516129,17.4677419354839,14.9870967741935,Charleroi
125,2075-01-01,19.8870967741936,21.9064516129032,21.9322580645161,24.5967741935484,27.2516129032258,26.9451612903226,15.758064516129,16.6677419354839,17.3870967741936,Charleroi
126,2076-01-01,19.8870967741936,19.6064516129032,20.2322580645161,24.4967741935484,24.0516129032258,24.7451612903226,15.558064516129,15.3677419354839,16.0870967741935,Charleroi
