,centroid_lon,centroid_lat,raster_value,geometry,index_right,ogc_fid,cd_sector,tx_sector_descr_nl,tx_sector_descr_fr,tx_sector_descr_de,cd_sub_munty,tx_sub_munty_nl,tx_sub_munty_fr,tx_munty_dstr,cd_munty_refnis,tx_munty_descr_nl,tx_munty_descr_fr,tx_munty_descr_de,cd_dstr_refnis,tx_adm_dstr_descr_nl,tx_adm_dstr_descr_fr,tx_adm_dstr_descr_de,cd_prov_refnis,tx_prov_descr_nl,tx_prov_descr_fr,tx_prov_descr_de,cd_rgn_refnis,tx_rgn_descr_nl,tx_rgn_descr_fr,tx_rgn_descr_de,cd_country,cd_nuts_lvl1,cd_nuts_lvl2,cd_nuts_lvl3,ms_area_ha,ms_perimeter_m,dt_situation
1126,5.5381137265968485,50.675540288753695,33.46964263916016,POINT (5.5381137265968485 50.675540288753695),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
1127,5.5399103571650885,50.6755402887537,34.23506546020508,POINT (5.5399103571650885 50.6755402887537),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
1261,5.538113726596849,50.67440173008686,31.171436309814453,POINT (5.538113726596849 50.67440173008686),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
53,5.548893510006283,50.6846477638736,34.57741928100586,POINT (5.548893510006283 50.6846477638736),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
54,5.550690140574522,50.6846477638736,34.949581146240234,POINT (5.550690140574522 50.6846477638736),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
55,5.552486771142762,50.6846477638736,33.97524642944336,POINT (5.552486771142762 50.6846477638736),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
56,5.554283401711,50.6846477638736,33.590213775634766,POINT (5.554283401711 50.6846477638736),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
187,5.547096879438043,50.6835094261413,31.980823516845703,POINT (5.547096879438043 50.6835094261413),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
188,5.548893510006284,50.6835094261413,33.7535514831543,POINT (5.548893510006284 50.6835094261413),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
189,5.550690140574522,50.6835094261413,34.448265075683594,POINT (5.550690140574522 50.6835094261413),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
190,5.552486771142762,50.6835094261413,33.91251373291016,POINT (5.552486771142762 50.6835094261413),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
191,5.554283401711001,50.6835094261413,33.42152786254883,POINT (5.554283401711001 50.6835094261413),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
192,5.556080032279239,50.6835094261413,33.02764892578125,POINT (5.556080032279239 50.6835094261413),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
193,5.557876662847479,50.6835094261413,33.6169548034668,POINT (5.557876662847479 50.6835094261413),172,13340,62063L01-,SAINT-LEON,SAINT-LEON,SAINT-LEON,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,53.4326789133,3832,2023-01-01
