,centroid_lon,centroid_lat,raster_value,geometry,index_right,ogc_fid,cd_sector,tx_sector_descr_nl,tx_sector_descr_fr,tx_sector_descr_de,cd_sub_munty,tx_sub_munty_nl,tx_sub_munty_fr,tx_munty_dstr,cd_munty_refnis,tx_munty_descr_nl,tx_munty_descr_fr,tx_munty_descr_de,cd_dstr_refnis,tx_adm_dstr_descr_nl,tx_adm_dstr_descr_fr,tx_adm_dstr_descr_de,cd_prov_refnis,tx_prov_descr_nl,tx_prov_descr_fr,tx_prov_descr_de,cd_rgn_refnis,tx_rgn_descr_nl,tx_rgn_descr_fr,tx_rgn_descr_de,cd_country,cd_nuts_lvl1,cd_nuts_lvl2,cd_nuts_lvl3,ms_area_ha,ms_perimeter_m,dt_situation
3728,4.4493556022439895,50.485018014193855,35.80350875854492,POINT (4.4493556022439895 50.485018014193855),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3729,4.451152232812229,50.485018014193855,34.87636947631836,POINT (4.451152232812229 50.485018014193855),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3730,4.452948863380468,50.48501801419385,31.98814392089844,POINT (4.452948863380468 50.48501801419385),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3731,4.454745493948707,50.485018014193855,30.86617851257324,POINT (4.454745493948707 50.485018014193855),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3732,4.456542124516946,50.485018014193855,31.460914611816406,POINT (4.456542124516946 50.485018014193855),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3898,4.443965710539272,50.483874840328696,32.10734939575195,POINT (4.443965710539272 50.483874840328696),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3899,4.445762341107511,50.48387484032869,36.676387786865234,POINT (4.445762341107511 50.48387484032869),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3900,4.44755897167575,50.483874840328696,36.84173202514648,POINT (4.44755897167575 50.483874840328696),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3901,4.449355602243989,50.483874840328696,35.87229537963867,POINT (4.449355602243989 50.483874840328696),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3902,4.451152232812229,50.48387484032869,34.18251419067383,POINT (4.451152232812229 50.48387484032869),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
